Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR26079013,2024-06-01 00:58:47,2026-06-25 04:41:17,39205311,11761593300,39205311,300,3350,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079013/SRR26079013.lite.2,SRX21793863,MPNS,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895606,SAMN37420996,simple,9606,Homo sapiens,MPNS,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,EC5FCE078DF1C529020E9E4375036DA6,BB00A807757DDA6B145787F8C07EB872
SRR26079014,2024-06-01 00:58:47,2026-06-25 04:44:31,36164467,10849340100,36164467,300,3072,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079014/SRR26079014.lite.2,SRX21793862,Pa01M1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895604,SAMN37420995,simple,9606,Homo sapiens,Pa01M1,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,F9C7AD858791756DB5E4F3488038519C,EE40F2D2321172B107BBE01EF4C1468D
SRR26079015,2024-06-01 00:58:47,2026-06-25 04:43:13,48606664,14581999200,48606664,300,4130,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079015/SRR26079015.lite.2,SRX21793861,Pa01NS,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895601,SAMN37420994,simple,9606,Homo sapiens,Pa01NS,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,157022BDCF8520B95CDBAB204FA56496,D85EF4ED73A6EB26AFEC36291DFF2840
SRR26079016,2024-06-01 00:58:47,2026-06-25 04:43:25,33163264,9948979200,33163264,300,2819,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079016/SRR26079016.lite.2,SRX21793860,Pa04M1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895602,SAMN37420985,simple,9606,Homo sapiens,Pa04M1,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,1A3B2A10419CED33067750F2E2786B28,9044612CA3629B364FDBF9FA8FAFE151
SRR26079017,2024-06-01 00:58:47,2026-06-25 04:42:32,46187465,13856239500,46187465,300,3910,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079017/SRR26079017.lite.2,SRX21793859,Pa04NS,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895600,SAMN37420984,simple,9606,Homo sapiens,Pa04NS,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,D8C2AF4D3E5D197C3352FF96544EFC59,FEB44C7AB991769CC6674AEF1487A718
SRR26079010,2024-06-01 00:58:47,2026-06-25 04:42:51,49726975,14918092500,49726975,300,4455,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079010/SRR26079010.lite.2,SRX21793866,HPACM1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895609,SAMN37420999,simple,9606,Homo sapiens,HPACM1,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,027D1CF8688EA91EDE0FE59C9A62A9D4,1A5B313EE438321090872DF277992D63
SRR26079011,2024-06-01 00:58:47,2026-06-25 04:43:22,47658393,14297517900,47658393,300,4206,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079011/SRR26079011.lite.2,SRX21793865,HPACNS,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895610,SAMN37420998,simple,9606,Homo sapiens,HPACNS,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,9CEEE98BE43E100731E2A24B90FF36EA,01D6F900508EAFB3D1DF1AE521004821
SRR26079012,2024-06-01 00:58:47,2026-06-25 04:52:01,55148070,16544421000,55148070,300,4730,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079012/SRR26079012.lite.2,SRX21793864,MPM1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895607,SAMN37420997,simple,9606,Homo sapiens,MPM1,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,7F23E47B2800A6460C71C6E957950D33,6911597BDA143AF5DA64DE978D56AE97
SRR26079008,2024-06-01 00:58:47,2026-06-25 04:44:42,36473040,10941912000,36473040,300,3067,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079008/SRR26079008.lite.2,SRX21793868,Panc1M1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895605,SAMN37420987,simple,9606,Homo sapiens,Panc1M1,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,AA30E1EA41E57B46D92385A66F22FFBF,B096CE5ACEF393D63142850550D2BD95
SRR26079009,2024-06-01 00:58:47,2026-06-25 04:43:19,33282851,9984855300,33282851,300,2815,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR026/26079/SRR26079009/SRR26079009.lite.2,SRX21793867,Panc1NS,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP461209,PRJNA1018107,,1018107,SRS18895603,SAMN37420986,simple,9606,Homo sapiens,Panc1NS,,,,,NA,,no,,,,,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,SRA1713677,,public,EE2541C2CEF2D32FDB369A7B80E301B8,1A7242D73DB59F7C6B6B8D9653561423
